"group";"year";"week";"value"
"45to64";2020;10;231
"45to64";2020;11;485
"45to64";2020;12;1035
"45to64";2020;13;1843
"45to64";2020;14;2588
"45to64";2020;15;2284
"45to64";2020;16;1411
"45to64";2020;17;944
"45to64";2020;18;401
"45to64";2020;19;434
"45to64";2020;20;234
"45to64";2020;21;321
"45to64";2020;22;265
"45to64";2020;23;57
"45to64";2020;24;71
"45to64";2020;25;-130
"45to64";2020;26;198
"45to64";2020;27;65
"45to64";2020;28;39
"45to64";2020;29;81
"45to64";2020;30;170
"45to64";2020;31;362
"45to64";2020;32;297
"45to64";2020;33;770
"45to64";2020;34;77
"45to64";2020;35;-17
"45to64";2020;36;94
"45to64";2020;37;172
"45to64";2020;38;301
"45to64";2020;39;172
"45to64";2020;40;348
"45to64";2020;41;438
"45to64";2020;42;448
"45to64";2020;43;809
"45to64";2020;44;841
"45to64";2020;45;998
"45to64";2020;46;1199
"45to64";2020;47;1097
"45to64";2020;48;1441
"45to64";2020;49;1267
"45to64";2020;50;1508
"45to64";2020;51;1188
"45to64";2020;52;1424
"45to64";2021;0;0
"45to64";2021;1;1987
"45to64";2021;2;2161
"45to64";2021;3;2210
"45to64";2021;4;1757
"45to64";2021;5;1488
"45to64";2021;6;1286
"45to64";2021;7;1136
"45to64";2021;8;681
"45to64";2021;9;527
"45to64";2021;10;775
"45to64";2021;11;625
"45to64";2021;12;807
"45to64";2021;13;925
"45to64";2021;14;907
"45to64";2021;15;1078
"45to64";2021;16;1060
"45to64";2021;17;1013
"45to64";2021;18;892
"45to64";2021;19;612
"45to64";2021;20;413
"45to64";2021;21;366
"45to64";2021;22;503
"45to64";2021;23;326
"45to64";2021;24;368
"45to64";2021;25;360
"45to64";2021;26;567
"45to64";2021;27;335
"45to64";2021;28;411
"45to64";2021;29;608
"45to64";2021;30;445
"45to64";2021;31;673
"45to64";2021;32;640
"45to64";2021;33;663
"45to64";2021;34;517
"45to64";2021;35;753
"45to64";2021;36;811
"45to64";2021;37;420
"45to64";2021;38;722
"45to64";2021;39;452
"45to64";2021;40;759
"45to64";2021;41;902
"45to64";2021;42;774
"45to64";2021;43;784
"45to64";2021;44;895
"45to64";2021;45;1094
"45to64";2021;46;1154
"45to64";2021;47;1037
"45to64";2021;48;364
"65to74";2019;0;0
"65to74";2019;1;487
"65to74";2019;2;940
"65to74";2019;3;864
"65to74";2019;4;915
"65to74";2019;5;1122
"65to74";2019;6;1181
"65to74";2019;7;971
"65to74";2019;8;997
"65to74";2019;9;723
"65to74";2019;10;594
"65to74";2019;11;526
"65to74";2019;12;83
"65to74";2019;13;-173
"65to74";2019;14;164
"65to74";2019;15;-172
"65to74";2019;16;236
"65to74";2019;17;-100
"65to74";2019;18;-210
"65to74";2019;19;-44
"65to74";2019;20;7
"65to74";2019;21;-50
"65to74";2019;22;15
"65to74";2019;23;254
"65to74";2019;24;2
"65to74";2019;25;138
"65to74";2019;26;486
"65to74";2019;27;318
"65to74";2019;28;-69
"65to74";2019;29;-47
"65to74";2019;30;915
"65to74";2019;31;164
"65to74";2019;32;-75
"65to74";2019;33;-89
"65to74";2019;34;-127
"65to74";2019;35;263
"65to74";2019;36;-306
"65to74";2019;37;-62
"65to74";2019;38;-48
"65to74";2019;39;104
"65to74";2019;40;64
"65to74";2019;41;104
"65to74";2019;42;91
"65to74";2019;43;151
"65to74";2019;44;-32
"65to74";2019;45;73
"65to74";2019;46;11
